metric,value,numerator,denominator
all_csv_rows,2522,,
tutor_turns,1261,,
review_concept_turns,1074,,
unique_users_with_review,326,,
unique_conversations_with_review,524,,
asked_check_question_rate,0.000931098696461825,1,1074
empty_citation_rate,0.4171322160148976,448,1074
empty_citation_users,215,,
empty_citation_conversations,276,,
insufficient_context_proxy_turns,178,,
insufficient_context_proxy_users,116,,
insufficient_context_proxy_conversations,135,,
recorded_misconceptions,0,,
recorded_follow_ups,0,,
rated_review_responses,60,,
rating_up,30,30,60
rating_down,30,30,60
latency_median_ms,1747.0,,1074
latency_p90_ms,2435.1,,1074
latency_max_ms,13240,,1074
latency_ge_10000ms,2,,1074
